Número do Bem,Motivo
8444428339914,Falha na requisição HTTP
8444402285124,Falha na requisição HTTP
8787705873831,Falha na requisição HTTP
8444425919600,Falha na requisição HTTP
8444402895100,Falha na requisição HTTP
8787701011614,Falha na requisição HTTP
8787712885602,Falha na requisição HTTP
8787706467403,Falha na requisição HTTP
8444404553819,Falha na requisição HTTP
8444429216123,Falha na requisição HTTP
8787710787255,Falha na requisição HTTP
8444423482832,Falha na requisição HTTP
8787706127246,Falha na requisição HTTP
8787711886710,Falha na requisição HTTP
8787702121642,Falha na requisição HTTP
8787713514560,Falha na requisição HTTP
8787711637540,Falha na requisição HTTP
8444409660940,Falha na requisição HTTP
8787711682813,Falha na requisição HTTP
8444421961369,Falha na requisição HTTP
8787701773859,Falha na requisição HTTP
8444429260246,Falha na requisição HTTP
8444423858468,Falha na requisição HTTP
8444426600739,Falha na requisição HTTP
8787712397454,Falha na requisição HTTP
8444423832027,Falha na requisição HTTP
8787714531387,Falha na requisição HTTP
8787710277168,Falha na requisição HTTP
8787717538315,Falha na requisição HTTP
8787711121366,Falha na requisição HTTP
8444413379311,Falha na requisição HTTP
8444423796926,Falha na requisição HTTP
8787709307962,Falha na requisição HTTP
8787709427887,Falha na requisição HTTP
8787708784007,Falha na requisição HTTP
8787710507821,Falha na requisição HTTP
8444429549297,Falha na requisição HTTP
8444429446340,Falha na requisição HTTP
8787708601484,Falha na requisição HTTP
8787716727769,Falha na requisição HTTP
8787711198407,Falha na requisição HTTP
8787711841032,Falha na requisição HTTP
8787709756422,Falha na requisição HTTP
8787704797821,Falha na requisição HTTP
1444407120761,Falha na requisição HTTP
1555539463188,Falha na requisição HTTP
10206718,Falha na requisição HTTP
1444418829430,Falha na requisição HTTP
1444421552746,Falha na requisição HTTP
8555510558308,Falha na requisição HTTP
10206723,Falha na requisição HTTP
1444419888325,Falha na requisição HTTP
10202981,Falha na requisição HTTP
1444417588120,Falha na requisição HTTP
1444419122063,Falha na requisição HTTP
1444408442959,Falha na requisição HTTP
1444420816880,Falha na requisição HTTP
1444420659431,Falha na requisição HTTP
8444429239417,Falha na requisição HTTP
1444407841337,Falha na requisição HTTP
1444415863689,Falha na requisição HTTP
1444419535813,Falha na requisição HTTP
8444409167860,Falha na requisição HTTP
8444406646555,Falha na requisição HTTP
8444406720798,Falha na requisição HTTP
8444402380011,Falha na requisição HTTP
8444401507255,Falha na requisição HTTP
8555512685366,Falha na requisição HTTP
8444402338376,Falha na requisição HTTP
8444404268464,Falha na requisição HTTP
8444406730254,Falha na requisição HTTP
8444415769583,Falha na requisição HTTP
8444416596445,Falha na requisição HTTP
8444404953426,Falha na requisição HTTP
8444409481905,Falha na requisição HTTP
1444417834490,Falha na requisição HTTP
1444421355568,Falha na requisição HTTP
8444407904930,Falha na requisição HTTP
8555514441120,Falha na requisição HTTP
1444419686463,Falha na requisição HTTP
8444416770267,Falha na requisição HTTP
8444410042618,Falha na requisição HTTP
8043000497840,Falha na requisição HTTP
8787710388393,Falha na requisição HTTP
8787707852599,Falha na requisição HTTP
1787701067808,Falha na requisição HTTP
8444401858643,Falha na requisição HTTP
8444403485062,Falha na requisição HTTP
8444424025052,Falha na requisição HTTP
8444403437700,Falha na requisição HTTP
1444408316678,Falha na requisição HTTP
8444416171460,Falha na requisição HTTP
8444405653922,Falha na requisição HTTP
8444402640382,Falha na requisição HTTP
1444412729752,Falha na requisição HTTP
8444412311217,Falha na requisição HTTP
1444409040277,Falha na requisição HTTP
8555519661730,Falha na requisição HTTP
1444414698099,Falha na requisição HTTP
8444420699385,Falha na requisição HTTP
1444414426978,Falha na requisição HTTP
1444415258920,Falha na requisição HTTP
8444422136167,Falha na requisição HTTP
1444418383416,Falha na requisição HTTP
8444411071883,Falha na requisição HTTP
8444423811747,Falha na requisição HTTP
8444415312702,Falha na requisição HTTP
8444406706116,Falha na requisição HTTP
1444419728140,Falha na requisição HTTP
8444401262856,Falha na requisição HTTP
1444419708793,Falha na requisição HTTP
1444419453469,Falha na requisição HTTP
1444415553841,Falha na requisição HTTP
8444415660727,Falha na requisição HTTP
8444400834058,Falha na requisição HTTP
1444418968031,Falha na requisição HTTP
1444417014352,Falha na requisição HTTP
8555526850089,Falha na requisição HTTP
8787706113830,Falha na requisição HTTP
8444416526820,Falha na requisição HTTP
8444401771521,Falha na requisição HTTP
8444409342514,Falha na requisição HTTP
1444415953602,Falha na requisição HTTP
8444404454365,Falha na requisição HTTP
8444403964130,Falha na requisição HTTP
8555538777713,Falha na requisição HTTP
1444415615855,Falha na requisição HTTP
8444416706623,Falha na requisição HTTP
10209938,Falha na requisição HTTP
8444408962632,Falha na requisição HTTP
8444416491805,Falha na requisição HTTP
8444401521541,Falha na requisição HTTP
1444414949890,Falha na requisição HTTP
1444417896690,Falha na requisição HTTP
10207836,Falha na requisição HTTP
1444414764563,Falha na requisição HTTP
1444418479626,Falha na requisição HTTP
8444408058952,Falha na requisição HTTP
8444413408923,Falha na requisição HTTP
1444419353545,Falha na requisição HTTP
