
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787715156377 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 302, BL 24 ;220.000,00;215.000,00;0.00;Apartamento, 48.39 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715156377
 8787715013878 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 304, BL 24 VG 404 ;220.000,00;210.000,00;0.00;Apartamento, 59.38 de área total, 38.40 de área privativa, 0.00 de área do terreno, a.serv, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715013878
 8787714499882 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 201, 2ºPAV BL 31 VG 375 ;209.000,00;193.000,00;0.00;Apartamento, 54.31 de área total, 43.14 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714499882
 8787710131104 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1449, Apto 402, 4ºPAV BL 29 VG 408 ;194.990,00;176.000,00;0.00;Apartamento, 59.38 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710131104
 8787710247196 ;SC ;BLUMENAU ;ITOUPAVA CENTRAL ;RUA RUDOLFO WALTER, N. 1445, Apto 404, BL 3  4ºPAV VG277 ;226.000,00;200.000,00;0.00;Apartamento, 47.79 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710247196
 10219365 ;SC ;BRACO DO NORTE ;PINHEIRAL ;TERRENO RURAL PINHEIRAL, N. 00, IMÓVEL RURAL ;807.000,00;807.000,00;0.00;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 61551.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10219365
 8444418943053 ;SC ;BRUSQUE ;PAQUETA ;RUA WALDEMAR HOFFMANN, N. 3, Apto 303, ;153.076,13;250.000,00;38.77;Apartamento, 58.98 de área total, 52.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418943053
 8444422951642 ;SC ;BRUSQUE ;LIMEIRA BAIXA ;RUA ESTADOS UNIDOS, N. 450, CS 05 ;300.000,00;300.000,00;0.00;Casa, 68.11 de área total, 62.81 de área privativa, 62.56 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422951642
 1444414522799 ;SC ;BRUSQUE ;LIMEIRA BAIXA ;RUA ARCO IRIS, N. 20, CS 01 ;350.000,00;328.000,00;0.00;Casa, 0.00 de área total, 56.91 de área privativa, 140.82 de área do terreno, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414522799
 1444415928870 ;SC ;BRUSQUE ;VOLTA GRANDE ;RUA HORIZONTE, N. 43, LT 06 QD C ;500.000,00;305.000,00;0.00;Casa, 153.70 de área total, 153.70 de área privativa, 260.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415928870
