
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444416762108 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 76, N. SN, LT 20C CONJ B RUA 12 ;50.622,57;151.000,00;66.48;Casa, 0.00 de área total, 87.88 de área privativa, 100.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416762108
 8444428036148 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 44, N. SN, Apto 202, LT 03 ;50.957,82;152.000,00;66.48;Apartamento, 0.00 de área total, 58.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428036148
 8444423231791 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;AVENIDA 4, N. SN, Apto 101, LT 01, QD C31 ;56.701,13;167.000,00;66.05;Apartamento, 0.00 de área total, 58.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423231791
 8444418966711 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ;QUADRA 52 RUA 27, N. SN, Apto 201, LT 5 ;65.857,63;190.000,00;65.34;Apartamento, 0.00 de área total, 71.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418966711
 8444426069057 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 05 ;QUADRA 4, N. SN, Apto 305, PAV 3 LT 16B PARK DAS AGUAS BONITAS I ;38.946,84;110.000,00;64.60;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426069057
 8444403465053 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;CONDOMINIO RESIDENCIAL CARAVELAS VI, N. SN, CASA 06 LT 32 ;40.852,22;115.000,00;64.48;Casa, 0.00 de área total, 64.05 de área privativa, 156.99 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403465053
 8444424811210 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;QUADRA 8, N. SN, LT 01-A, AV GOIAS/R MARANHAO ;49.564,46;138.000,00;64.09;Casa, 0.00 de área total, 68.89 de área privativa, 204.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424811210
 8444422870618 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;QUADRA 61, N. SN, Apto 201,  LT 24E  RUA 18 SETOR 7 ;52.661,99;145.000,00;63.69;Apartamento, 0.00 de área total, 70.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422870618
 8444419042300 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM IV ;QUADRA 24, N. SN, Apto 202, LT 29 ;57.380,19;156.000,00;63.22;Apartamento, 0.00 de área total, 66.27 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419042300
 8444418992917 ;GO ;AGUAS LINDAS DE GOIAS ;RESIDENCIAL SOL NASCENTE I ;AVENIDA ADELIA, N. SN, Apto 5, LT 16 QD 03 ;34.892,50;93.000,00;62.49;Apartamento, 0.00 de área total, 33.66 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418992917
